Time,PV_Cell_Temperature (°C),Humidity (%),Pressure (Pa),Solar_Irradiation (W/m^2),Wind_Speed (m/s),Rainfall_Status (0/1),Inverter_Power (W)
2023-10-01 00:00:00,10.15391265888884,50.323149887265906,10194145.39245392,0,10.109479890279134,0,0
2023-10-01 00:05:00,12.401025665575126,49.5344087511594,10201190.328484502,0,10.109479890279134,0,0
2023-10-01 00:10:00,9.987691554800236,50.43876479234168,10190281.132444186,0,10.109479890279134,0,0
2023-10-01 00:15:00,8,50.3221374302656,10190728.37396967,0,10.109479890279134,0,0
2023-10-01 00:20:00,9.971857886979379,49.76760834881249,10203748.619708357,0,10.109479890279134,0,0
2023-10-01 00:25:00,13.289807906610006,50.30324801948443,10202236.420203159,0,10.109479890279134,0,0
2023-10-01 00:30:00,13.80671559932437,49.919836565855306,10200423.480821265,0,10.109479890279134,0,0
2023-10-01 00:35:00,13.423301072540227,49.92869131137345,10193291.270338712,0,10.109479890279134,0,0
2023-10-01 00:40:00,15.69776956269617,50.00916362203134,10205627.94685717,0,10.109479890279134,0,0
2023-10-01 00:45:00,8.735018360500419,50.46317142228897,10190248.283587417,0,9.734184179542972,0,0
2023-10-01 00:50:00,9.732542127607203,50.02860890905467,10208446.845607888,0,9.734184179542972,0,0
2023-10-01 00:55:00,13.352121343810236,49.668780279304855,10198972.567575399,0,9.734184179542972,0,0
2023-10-01 01:00:00,12.508140869596751,50.18406911132635,10200633.755401898,0,9.734184179542972,0,0
2023-10-01 01:05:00,9.32666108245809,49.77228048092089,10207288.947498854,0,9.734184179542972,0,0
2023-10-01 01:10:00,12.58034369721556,49.62894092313756,10200155.536354696,0,9.734184179542972,0,0
2023-10-01 01:15:00,13.429012186957708,50.31396953961182,10201835.126217712,0,9.734184179542972,0,0
2023-10-01 01:20:00,11.13507410086222,49.98340579771303,10200916.055639628,0,9.734184179542972,0,0
2023-10-01 01:25:00,11.99974451041192,49.62005023331145,10203927.665571516,0,9.734184179542972,0,0
2023-10-01 01:30:00,11.789714732839311,50.30159482643322,10199428.776035406,0,9.734184179542972,0,0
2023-10-01 01:35:00,8,50.10724386430627,10194830.584080882,0,9.734184179542972,0,0
2023-10-01 01:40:00,8,50.47875668247122,10198564.955631398,0,9.734184179542972,0,0
2023-10-01 01:45:00,13.387367948281735,50.01555562247545,10196745.826466598,0,10.123580416465071,0,0
2023-10-01 01:50:00,8,50.46131547847951,10199514.270788882,0,10.123580416465071,0,0
2023-10-01 01:55:00,8,50.095903881976035,10200195.329023786,0,10.123580416465071,0,0
2023-10-01 02:00:00,11.527463359650739,50.4013564669607,10192142.475926902,0,10.123580416465071,0,0
2023-10-01 02:05:00,8,49.57224157256681,10206566.96108367,0,10.123580416465071,0,0
2023-10-01 02:10:00,11.684081978420336,49.82263202632373,10204571.188457115,0,10.123580416465071,0,0
2023-10-01 02:15:00,8,50.40632946732795,10200158.5576692,0,10.123580416465071,0,0
2023-10-01 02:20:00,8.670960349467638,50.47907542306136,10209622.43782847,0,10.123580416465071,0,0
2023-10-01 02:25:00,8,50.36455928602894,10201969.914003395,0,10.123580416465071,0,0
2023-10-01 02:30:00,8,49.6717540495909,10192742.777797746,0,10.123580416465071,0,0
2023-10-01 02:35:00,8.128986178553713,49.57856548611944,10209392.893792598,0,10.123580416465071,0,0
2023-10-01 02:40:00,8,49.683520204706696,10205028.001198728,0,10.123580416465071,0,0
2023-10-01 02:45:00,12.138587606933728,49.79286039038432,10207276.262956832,0,10.123580416465071,0,0
2023-10-01 02:50:00,8,49.660479153260134,10195962.000723599,0,9.932554682029004,0,0
2023-10-01 02:55:00,12.820439954602207,50.341312872334,10192370.517162934,0,9.932554682029004,0,0
2023-10-01 03:00:00,9.15660556880058,49.57022517035753,10202845.71160209,0,9.932554682029004,0,0
2023-10-01 03:05:00,11.376783677585262,50.007599140936534,10196175.02451669,0,9.932554682029004,0,0
2023-10-01 03:10:00,8,49.993325166431234,10190900.331025384,0,9.932554682029004,0,0
2023-10-01 03:15:00,8.053518668127367,50.30640106481247,10195495.795201156,0,9.932554682029004,0,0
2023-10-01 03:20:00,8,50.44931287519608,10203297.384828627,0,9.932554682029004,0,0
2023-10-01 03:25:00,9.365528052376753,49.91286431499595,10195659.063918706,0,9.932554682029004,0,0
2023-10-01 03:30:00,10.545660933131412,49.5244801678498,10201570.376413263,0,9.932554682029004,0,0
2023-10-01 03:35:00,8,50.199118719953006,10206902.893502608,0,9.932554682029004,0,0
2023-10-01 03:40:00,8.943861806830835,49.70096394323961,10197495.554891897,0,9.932554682029004,0,0
2023-10-01 03:45:00,8,50.26554537316476,10201261.95089244,0,9.932554682029004,0,0
2023-10-01 03:50:00,9.416777235394822,49.568044636312074,10193395.86896607,0,9.932554682029004,0,0
2023-10-01 03:55:00,11.060782878051722,50.19640130696608,10192263.219435543,0,9.932554682029004,0,0
2023-10-01 04:00:00,9.163337017528374,49.73833929740402,10205803.552091118,0,9.932554682029004,0,0
2023-10-01 04:05:00,9.441610166931167,49.59996506340063,10192640.912164984,0,9.932554682029004,0,0
2023-10-01 04:10:00,8,49.94868031309458,10199424.923662547,0,9.932554682029004,0,0
2023-10-01 04:15:00,8.263782558788632,50.354518985591895,10197564.416082619,0,10.383995290614452,0,0
2023-10-01 04:20:00,8,49.59828580154247,10207560.085055176,0,10.383995290614452,0,0
2023-10-01 04:25:00,8,49.509034477717115,10199614.19834753,0,10.383995290614452,0,0
2023-10-01 04:30:00,8,50.475424998272466,10190071.849546416,0,10.383995290614452,0,0
2023-10-01 04:35:00,8,49.98929296196869,10193612.916303234,0,10.383995290614452,0,0
